country,n_nodes,within_weight,incoming_weight,outgoing_weight,external_weight,external_share,mean_rl,max_rl,scenario,metric,absorption_gain
CHE,48,20.16770344091382,27.074105648796845,27.589831142861648,14.328529909830856,0.4153650563568426,0.001656543544060948,0.013036143919029212,Financial: 2008-style US+UK+IRL finance,damped,0.026281831161363758
SWE,49,20.13622015622943,28.773859175618025,27.18380583832504,15.685224701484202,0.4378724745410881,0.0016426959356383459,0.005211401633556848,Financial: 2008-style US+UK+IRL finance,damped,0.03049000256449913
HKG,45,22.24962870141944,23.559718728796536,27.635247710283842,6.695709036241496,0.23132253964097552,0.0016371164238974346,0.014978239503972271,Financial: 2008-style US+UK+IRL finance,damped,0.018638968654935438
ITA,49,21.80215767254645,42.34762746803114,27.228388287051775,25.97170040999002,0.5436383296722662,0.001596782741261221,0.011381626501281689,Financial: 2008-style US+UK+IRL finance,damped,0.02698096772626456
ARG,49,20.258336175859196,21.625875802091084,23.34622019333053,4.45542364370322,0.18028109345695292,0.0015951162363587394,0.020088967751556486,Financial: 2008-style US+UK+IRL finance,damped,0.020106661603630203
UKR,49,21.466417516664414,24.226309552677968,28.46753880708375,9.761013326432888,0.31257817447350206,0.0015513862337165596,0.027225581783826763,Financial: 2008-style US+UK+IRL finance,damped,0.019549922022067564
EST,48,16.920539640531047,18.53866259095961,28.084568336022876,12.782151645920393,0.43033648104981087,0.0014988525208347809,0.008714978591538717,Financial: 2008-style US+UK+IRL finance,damped,0.028424989699445898
BGR,49,17.929433442825434,19.640390432709562,28.15571193296303,11.937235480021727,0.3996841934685953,0.001493411386135085,0.01092102080236265,Financial: 2008-style US+UK+IRL finance,damped,0.025924444329759936
FIN,48,19.64607779536437,24.701273823780962,27.256581330043993,12.665699563096211,0.39198399464645356,0.0014616363443382312,0.007038166062158884,Financial: 2008-style US+UK+IRL finance,damped,0.02610555579354552
LVA,48,16.775635068719584,18.359954027768474,25.869373975633472,10.678057865962778,0.3889479601657941,0.001443411731052928,0.009439355873544152,Financial: 2008-style US+UK+IRL finance,damped,0.031206209784228185
HRV,49,17.25820865451051,18.258790869668786,26.746021625390732,10.488395186038495,0.37800644887251783,0.0013768854013229777,0.005150954095601223,Financial: 2008-style US+UK+IRL finance,damped,0.026972243104094042
ROW,49,17.69923184577388,47.450333494165534,23.486921819886987,35.53879162250476,0.6675452863812685,0.0013753612070992172,0.007142075722831823,Financial: 2008-style US+UK+IRL finance,damped,0.017047192735510752
SEN,49,16.079861567702665,16.17074699031589,22.457657804214154,6.468681659124712,0.2868780299486721,0.0012856543906108436,0.005173496291494144,Financial: 2008-style US+UK+IRL finance,damped,0.021151202991918475
COL,49,20.21266752428177,21.27043900927838,24.703917816529906,5.5490217772447465,0.21539821058690967,0.0011783137025748798,0.005265859331573952,Financial: 2008-style US+UK+IRL finance,damped,0.02121067636479022
